code_ies,name_ies,initials,county,state,academic_organization,category,url
2140,FACULDADE NOSSA SENHORA DE LOURDES (FNSL),FNSL,Porto Seguro,BA,Faculdade,Privada,www.faculdadefnsl.com.br
1524,FACULDADE OLGA METTIG (FAMETTIG),FAMETTIG,Salvador,BA,Faculdade,Privada,faculdadeolgamettig.edu.br
4538,FACULDADE PARQUE (FAP),FAP,Salvador,BA,Faculdade,Privada,www.faculdadeparque.com.br
19256,Faculdade Pitágoras de Brumado,-,Brumado,BA,Faculdade,Privada,www.faculdadepitagoras.com.br
19298,Faculdade Pitagoras de Eunapolis (FPE),FPE,Eunápolis,BA,Faculdade,Privada,www.faculdadepitagoras.com.br
20587,Faculdade Pitágoras de Irecê (FPI),FPI,Irecê,BA,Faculdade,Privada,www.faculdadepitagoras.com.br
19283,Faculdade Pitagoras de Jacobina,-,Jacobina,BA,Faculdade,Privada,www.faculdadepitagoras.com.br
19260,Faculdade Pitágoras de Jequié (FPJ),FPJ,Jequié,BA,Faculdade,Privada,www.faculdadepitágoras.com.br
19780,Faculdade Pitágoras Unopar de Guanambi (FPG),FPG,Guanambi,BA,Faculdade,Privada,www.faculdadepitagoras.com.br
4747,FACULDADE REGIONAL DE RIACHÃO DO JACUÍPE (FARJ),FARJ,Riachão do Jacuípe,BA,Faculdade,Privada,www.farj-rj.com
16225,Faculdade Regional do Jacuípe (FARJ),FARJ,Capim Grosso,BA,Faculdade,Privada,ww.farj-edu.com.br
25511,FACULDADE SANAR (SANAR),SANAR,Salvador,BA,Faculdade,Privada,www.faculdadesanar.com.br
22763,FACULDADE SANTA CASA (FSC),FSC,Salvador,BA,Faculdade,Privada,faculdade.santacasaba.org.br
1455,FACULDADE SANTÍSSIMO SACRAMENTO (FSSS),FSSS,Alagoinhas,BA,Faculdade,Privada,www.fsssacramento.br
1902,FACULDADE SANTO AGOSTINHO (FACSA),FACSA,Ipiaú,BA,Faculdade,Privada,www.facsa.com.br
22088,FACULDADE SANTO AGOSTINHO DE ITABUNA (FASAI),FASAI,Itabuna,BA,Faculdade,Privada,www.fasa.edu.br
17433,FACULDADE SANTO AGOSTINHO DE VITÓRIA DA CONQUISTA (FASAVIC),FASAVIC,Vitória da Conquista,BA,Faculdade,Privada,https://vic.fasa.edu.br/
3285,FACULDADE SANTO ANTONIO (FSA),FSA,Alagoinhas,BA,Faculdade,Privada,fsaa.edu.br
18059,FACULDADE SANTO ANTONIO DE QUEIMADAS (FSAQ),FSAQ,Queimadas,BA,Faculdade,Privada,www.nossafaculdade.com.br
3270,FACULDADE SÃO BENTO DA BAHIA (FSBB),FSBB,Salvador,BA,Faculdade,Privada,www.unidom.com.br
